sitecode,week,mean_gene,mean_pop
ALLA,5,658.0,62058.0
ALLA,6,329.0,62058.0
ALLA,7,493.5,62058.0
ALLA,8,164.5,62058.0
ALLA,9,2884.25,62058.0
ALLA,10,2828.0,62058.0
ALLA,11,915.0,62058.0
ALLA,12,3922.25,62058.0
ALLA,13,1794.5,62058.0
ALLA,14,4172.666666666667,62058.0
ALLA,15,4605.0,62058.0
ALLA,16,10806.75,62058.0
ALLA,17,30269.75,62058.0
ALLA,18,8493.0,62058.0
ALLA,19,3858.6666666666665,62058.0
ALLA,20,7802.333333333333,62058.0
ALLA,21,10664.333333333334,62058.0
ALLA,22,3328.75,62058.0
ALLA,23,1660.0,62058.0
ALLA,24,3919.5,62058.0
ALLA,27,69420.66666666667,62058.0
ALLA,28,77328.75,62058.0
ALLA,29,36352.0,62058.0
ALLA,30,38835.0,62058.0
ALLA,31,36220.0,62058.0
ALLA,32,58960.5,62058.0
ALLA,33,40512.75,62058.0
ALLA,34,32658.0,62058.0
ALLA,35,10975.0,62058.0
ALLA,36,37755.5,62058.0
ALLA,37,16571.0,62058.0
ALLA,38,31166.25,62058.0
