"week","rna","activecase"
5,658,0.383840274406608
6,329,0.0368504493110404
7,493.5,0.162698467793123
8,164.5,0.00065244621210519
9,2884.25,6.35624360682723
10,2828,6.38961009480693
11,915,0.933444086962921
12,3922.25,37.0201815940853
13,1794.5,4.09731340473888
14,4172.66666666667,65.8788756536677
15,4605,140.905606679347
16,10806.75,2864.00603746904
17,30269.75,28095.7627657426
18,8493,1689.7628270445
19,3858.66666666667,31.4969487876282
20,7802.33333333333,1357.91850794627
21,10664.3333333333,2785.97039029217
22,3328.75,8.21686669315436
23,1660,3.57517479968883
24,3919.5,36.7661938958194
27,69420.6666666667,54973.7275004944
28,77328.75,57092.5838362736
29,36352,39491.1286799287
30,38835,43761.3915372202
31,36220,39249.41110299
32,58960.5,55422.8814141475
33,40512.75,46229.6607999607
34,32658,32535.9140867533
35,10975,2957.61591148084
36,37755.5,41980.0679228527
37,16571,7424.13750390951
38,31166.25,29747.2862757595
